,Date,News
10,2007-07-20,"Corrections: For the Record : An article in Business Day yesterday about the quarterly earnings at the McClatchy Company and Dow Jones & Company misstated the context for a statement about declining advertising revenues from L. Gordon Crovitz, the publisher of The Wall Street ...Earnings Decline at McClatchy and Dow Jones : AS  newspapers suffer from falling advertising revenue, the McClatchy Company and Dow Jones & Company yesterday became the latest companies in the industry to report sharply lower second-quarter earnings.     McClatchy reported earnings of $39.9 m...Harry Potter: Denver Prepares for the Potter Parties to Begin : Harry Potter: In Denver, two hours behind the East Coast, fans must wait longer to get their midnight copies of the new Potter book, but preparation for the parties is well underway.Earnings Decline at McClatchy and Dow Jones : A continuing decline in advertising revenue pushed second quarter profits lower at two major publishers.Corrections: For the Record : A picture caption yesterday with an article about hotel reservations for the 2008 Democratic National Convention misstated the affiliation of Tina Akintayo, who was shown checking the accommodations of a hotel in Denver. She is the housing directo...Doing Their Best to Blend in, Amateurs End Up Standing Out : Six amateurs are competing at the British Open, without a chance to win a share of the $8.5 million purse no matter how well they play. A Landscape That the Glaciers Overlooked : Tucked into Ohio’s southeast corner lies a densely wooded but thinly populated region of rugged slopes and cool hollows, of spring-fed creeks and cascading waterfalls, known as the Hocking Hills.C.E.O. Libraries Reveal Keys to Success : Explore the personal libraries of successful chief executives and discover what makes them think, not compete.
"
11,2007-07-23,"IPhone Flaw Lets Hackers Take Over, Security Firm Says : A team of computer security consultants say they have found a flaw in the Apple iPhone that allows them to take control of the device. AT&T Earnings Up, but iPhone Sales Disappoint : The telephone company solidly beat Wall Street’s forecasts as wireless data use soared, but its initial report on iPhone signups sent Apple’s shares down sharply.Stealing Data From an iPhone Is Easy, but Don’t You Dare Use a Ringtone You Didn’t Pay For. : The phone has heavy armor, they found, to prevent users from doing things that undercut profitable activities for Apple, such as loading a ringtone without paying for it. There was more of a cardboard fence when it came to actions of little financ...Podcasters Unite to Figure Out a Role for Ads : Industry executives say they have closed in on a solution as to how to make advertising a viable revenue source for podcasting.LOOKING AHEAD : HOUSING INDICATORS The housing sector will take center stage with earnings reports from three big homebuilders, Pulte Homes (Wednesday) and Beazer and D. R. Horton (Thursday). There will also be reports on existing home sales for June (Wednesday) ...Looking Ahead : HOUSING INDICATORS The housing sector will take center stage with earnings reports from three big homebuilders, Pulte Homes (Wednesday) and Beazer and D. R. Horton (Thursday). There will also be reports on existing home sales for June (Wednesday) ...Dispelling Pregnancy Myths: Eating for 1.5 : What to eat, and what not to eat, when you’re expecting. Amazon Profit Is Up, With Harry Potter’s Aid : The online retailer announced today that its second-quarter net income increased more than threefold, with revenue up 35 percent.Computer Support, Can You Rock to This? : Fans of Christopher Guest may recognize his signature style in two new music videos released on Monday, but not the products that the videos are pitching.Today in Business : BANCROFT FAMILY GATHERING As it assembles at the Boston Hilton to consider selling Dow Jones & Company and its main prize, The Wall Street Journal, to Rupert Murdoch's News Corporation, the controlling Bancroft clan faces some stark math. But mone..."
12,2007-08-01,"Shares of Apple Fall on Cutback Rumors : Shares of the company fell close to 7% percent on, among other things, talk of production cuts in iPhones and iPods.Quick Bits: AOL Shrinks, Dell Gains Support : What’s hot today, with reports on Apple’s latest products and iPhone software updates, hacking RFID passports, and updates on the fate of the online Wall Street Journal, and the F.C.C.’s wireless spectrum auction.TODAY IN BUSINESS : MURDOCH BUYS DOW JONESRupert Murdoch finally won his long-coveted prize, gaining enough support from the deeply divided Bancroft family to buy Dow Jones & Company, publisher of The Wall Street Journal and one of the world's most respected news sou...Food Stuff | Cooling Off in Montauk With an Assist From New Orleans : In steamy New Orleans, refreshment comes in the form of sno-balls: ice that has been shaved to a powder and drenched with bright syrup. The dense ice absorbs the syrup, making it more sorbet than slush, and more refined than the Italian ices known...Corrections: For the Record : An article in Business Day on July 25 about AT&T's quarterly earnings report, which included a statement from an analyst, Eugene Munster, comparing the subscriber rate for the iPhone to iPod sales, misstated the period of iPod sales he was using f...Food Stuff | In the Market: Nature's Bounty in All Its Colors : Good weather has blessed many crops in the New York region this year, and abundance at the Greenmarkets is a result. ''There has been enough rain, but not too much,'' said Fred Wilklow of Wilklow Orchards in Highland, N.Y.      Tomatoes, top, and ...Artwork Pulled From Show : A video installation by the Singaporean artist Lynn Lu has been withdrawn from the Singapore Art Show after Ms. Lu conceded its close resemblance to the work of an American artist, Jason Mortara. Food Stuff | PB&J Upgrade: Breaking Out the Good Stuff : Stick to your old-fashioned roots and the market will eventually wake up. Take the Koeze Company's Cream-Nut peanut butter, for example. It has been made in Grand Rapids, Mich., from dark-roasted Virginia peanuts since 1925. Coarsely ground in sma...Wall Street Continues Its Rebound : Stocks staged their second consecutive late-afternoon rally today, recovering even more losses from the sharp sell-off last week.On a Home Network, the Right Drive Means Storage for All : When everyone in the household wants access to all the content at any time from any room, the data-engulfed consumer needs to go one step further, to network-attached storage."
13,2007-09-14,"Gristedes, a Familiar New York Supermarket Brand, Dwindles : The number of Gristedes stores has dropped from 78 a decade ago to 39 today (35 stores are in Manhattan), as a once familiar New York City name continues to recede.TODAY IN BUSINESS : ITUNES EXCLUDED FROM REBATEApple Inc. offered $100 in credit to early iPhone buyers after cutting the price, but it excluded one of its most popular items from the rebate: iTunes music.     Customers can buy ''just about anything sold by Apple'' i...Lay of The Land : POPULATION Garrett County, Md., with Deep Creek Lake at its center, has 29,859 residents, according to a 2006 Census Bureau estimate.      SIZE Garrett County is 648 square miles. Deep Creek Lake covers 3,900 acres, with 69 miles of shoreline.   Spare Times: For Children : FOR CHILDREN.Your Workplace Enemy Is You : The ways workers sabotage their own careers, work with teams, get fat on the job and more.First Data Prepares $5 Billion Loan Sale : First Data is preparing to sell $5 billion out of $13 billion in loans to support its buyout by Kohlberg Kravis Roberts, in what promises to be the first real test of the debt markets since this summer's credit freeze. On Friday afternoon, banks f...S.E.C. Charges Accountants and Firms With Sarbanes-Oxley Violations : The case is the first the S.E.C. has brought for violations of a requirement that accounting companies that audit public firms register with Public Company Accounting Oversight Board.The Future for XM, With or Without a Sirius Merger : Nate Davis, president and interim chief executive of XM Satellite Radio, and Gary Parsons, the company’s chairman, recently discussed the merger and the future of the company if the merger petition is not successful.Pop : POP     Full reviews of recent concerts: nytimes.com/music.  Rock and Pop Listings : POP."
14,2007-09-17,"IPhone Enters Its European Phase : Steve Jobs, Apple’s chief executive, said the iPhone would become available to British consumers in November in an exclusive arrangement with O2. Correction: For the Record : A brief report from Bloomberg News in Business Day on Saturday, about Apple Inc.'s $100 credit offer to early iPhone buyers, misstated a restriction on the offer. Customers may use the credit to buy gift cards redeemable on Apple's iTunes music si...EMusic, a Song-Download Site, to Offer Audiobooks : The company that has given Apple’s iTunes the most competition in song downloading will now compete with it in selling audiobooks.Microsoft Ruling May Bode Ill for Other Companies : Experts said a European antitrust ruling might signal problems for companies like Apple, Intel and Qualcomm.The iPhone Heads to Europe; Euros Head to Cupertino : Apple’s reportedly will announce deals to sell the iPhone in Europe this week. Carriers O2, Orange and T-Mobile are said to be giving huge portions of the usage fees back to Apple.Blogtalk: Potty Training, Brooklyn Style : What we’re reading on other blogs.As Europe Debated, Microsoft Took Market Share : Top lawyers for Microsoft and the European Commission are to learn whether the company has persuaded the court to overturn a record $690 million fine and antitrust ruling. TODAY IN BUSINESS : WHAT'S AT STAKE Ron Gettelfinger, president of the United Automobile Workers, and Rick Wagoner, the chief executive of General Motors, had everything on the line in talks that continued Sunday in Detroit.      JUST ASK Internet pundits make a spec...TODAY IN BUSINESS : A RULING AND A WARNING A European court has told Microsoft it must obey a March 2004 order to share confidential computer code with competitors and pay a $689.4 million fine, a rebuke that could have a major impact well beyond the world's largest ...People and Accounts of Note : Webdenda."
15,2008-01-07,"But You Know, Apple Is Really Just One of Us : C.E.S. doesn't want to be overshadowed by Apple. So executives here point out that Apple is part of the club.BITS : If Apple Met Blu-ray     Rumors are flying fast and furious over what Steven P. Jobs, above, will pull out of his blue-jean pocket next week at the Macworld Expo in San Francisco. These include a movie rental service for iTunes, a supersmall noteb...The iPod Economy and C.E.S. : This year, sales will be greater for speaker systems and clock radios designed to hook up to Apple iPods than standalone desktop stereos and home theater-in-a-box systems.Microsoft Forges Ties to Studios : Microsoft announced partnerships with Walt Disney, NBC Universal and Metro-Goldwyn-Mayer to boost online video sales. As Electronics Show Grows, Some Scale Back : The annual Consumer Electronics Show in Las Vegas has become a challenging place to introduce new products.New CDs : SIA  ''Some People Have Real Problems''  (Monkey Puzzle/Hear Music)     Sia comes out of the shadows on her fourth studio album, ''Some People Have Real Problems.'' Sia Furler is a singer and songwriter who was born in Australia and works in Londo...High-Definition Movies, Without the Format War : Vudu, the movie store in a set-top-box, is adding high definition titles to its nascent service.No More New Things From Microsoft : At his last C.E.S. keynote, Bill Gates offers some content partnerships, a few cool demos and a handful of modest product tweaks. In other words, Microsoft has little new to offer in the exploding world of consumer electronics.A Reliever From the Old School Awaits His Hall of Fame Day : Far from pampered, during his 22-year career, Rich “Goose” Gossage was the type of relief pitcher that has now become extinct.Sony's Chief Says It Won't Be Late Again : Howard Stringer is willing to admit that Sony got some things wrong, but he says it won't happen with OLED technology."
16,2008-03-06,"Apple Aims to Put iPhone Into the Workplace : Apple unveiled new software that reflects its intensifying effort to court business customers and placate third-party developers who want to build iPhone applications but have been locked out.Under Apple's Watchful Eye, Games and Business Applications : Apple has created tools for programmers to build interesting applications to run on the iPhone. But all programs must be distributed through Apple, which will take 30 percent of the sale price.Al Gore's Big Investment : His bid for the presidency didn't pan out, but financially speaking, the past eight years or so have apparently been good ones for Al Gore. Mr. Gore doesn't disclose much about his personal finances, but Bloomberg News came across a regulatory fil...Clinton Raises Millions Following Tuesday's Wins : No word yet on how much the Obama campaign has raised.Disney to Offer Some Vintage TV Series on Its Web Site : The Walt Disney Company will begin showing its classic television shows on the Internet, its chief executive, Robert A. Iger, told shareholders on Thursday.A Password for Every Router : Everyone always says to change the password on your home wireless router from the default one. Why is this, and how do I change my password when the router is already up and running?Social Networking Moves to the Cellphone : The advantage over computer-based social networks, companies believe, is the ability to know where a cellphone is, thanks to global positioning satellites and related technologies.Q & A : A  Password     For Every Router  Heard the One About the Farmer’s Ethanol? : Robert Bryce mounts a savage attack on the concept of energy independence and the most popular technologies currently being promoted to achieve it.Dealbook Extra : Stock Market 'Equanomics'     At more than $17 billion, Visa's initial public offering is expected to be the largest ever in the United States. Along with that comes a wealth of fees for the banks underwriting the credit card giant's offering -- a..."
17,2008-03-07,"Apple to Encourage iPhone Programmers : Apple is hoping to expand the iPhone’s appeal by luring software developers to create programs for it.Kleiner Perkins to Aid iPhone Developers : Steven P. Jobs, Apple's chief executive, is hoping to expand the iPhone's appeal by luring software developers to create programs for it. John Doerr, the venture capitalist, is adding an incentive: his firm is putting up $100 million to invest in ...The i's Have It: The BBC's iPlayer on the iPhone : Apple has not made it easy for the iPhone to view most Web video. But the BBC has decided to convert 400 hours a week of programs into Apple's preferred format to make an iPhone version of its iPlayer video site.Disney to Offer Some Vintage TV Series on Its Web Site : The Walt Disney Company will begin showing its classic television shows on the Internet, its chief executive, Robert A. Iger, told shareholders on Thursday.Heard the One About the Farmer’s Ethanol? : Robert Bryce mounts a savage attack on the concept of energy independence and the most popular technologies currently being promoted to achieve it.Dealbook Extra : Stock Market 'Equanomics'     At more than $17 billion, Visa's initial public offering is expected to be the largest ever in the United States. Along with that comes a wealth of fees for the banks underwriting the credit card giant's offering -- a..."
18,2008-03-11,"A Lunch That Provides Its Own Box : A savory, portable pie facilitates transport and obviates the need for niceties like forks and plates.iPhone Entrepreneurs Line Up for Funding : It was only last week that Appleannounced that Kleiner Perkins Caufield & Byers, run by venture capitalist John Doerr, would pony up $100 million to invest in start-ups seeking to create applications for iPhone, but already hopeful entrepreneurs a...TiVo and YouTube to Deliver Web Video to TV : TiVo, the maker of popular digital video recorders, announced a partnership with YouTube that will deliver Web video directly to users’ televisions.Foes of Sex Trade Are Stung by the Fall of an Ally : Human rights groups credit Gov. Eliot Spitzer with what they call the toughest anti-sex-trade law in the nation.Trying to Add a Pulse to a World of Machines : At the Computer History Museum, curators confront a basic problem: how to make objects that are ugly, slow and obsolete come alive.New York, a Hockey Town At Last? : Here's a turnaround from last season: more New Yorkers than Buffalonians watched the Rangers-Sabres telecast.At Gettysburg, Farther From the Battle but Closer to History : In April, the new $103 million visitor center and museum at the Gettysburg National Military Park will become a reality.Controversial Canal Tests South Korea’s New Leader : The mountains of Mungyong, South Korea, where miners once dug for coal, may one day offer a new source of income: tourists sailing down a waterway blasted though the hills.A Homecoming for a Former Times Square Fixture : The Walgreen Company, the nation’s largest drugstore chain in sales, plans a three-level store with 16,200 square feet at One Times Square."
19,2008-04-07,"A.M.D., Citing a Slowdown, to Cut 1,650 Jobs : The layoffs may be one of the first signs in Silicon Valley of an economic slowdown that has already affected other industries in the United States.In Praise of iTunes : Apple announced last week that its iTunes Music Store is now the leading music retailer in the country, ahead of Wal-Mart and Best Buy. Nothing to be surprised at there. Digital downloading has been growing at a remarkable rate, and not only becau...Amazon Accelerates Its Move to Digital : With the No. 1 source of music sales now an online downloading service, Amazon.com looks at the development of its digital offerings with a sense of urgency.Palm Takes $25 Million Write-Down and Revises Loss : The handset maker said that it lost more in the third quarter than it initially reported because of a recent revaluation of securities affected by the tight credit market.Can the Wireless Industry Handle Hip? : Almost everyone at the CTIA conference last week seemed to be musing about how mainstream the wireless industry was becoming.Motorola and Icahn Reach Compromise on Directors : The move gives the company, which failed to follow up on the initial success of the Razr, a chance to focus on turning around its declining cellphone business.Talk to the Newsroom: <br> Travel Editor Stuart Emmrich : Stuart Emmrich, travel editor, is answering questions this week.The Last Open Tract in a Township in Need of Revenue : John Paschal’s efforts to save his suburban farm are meeting with opposition from a town seeking to make the most of its land’s market value.On the Flip Side : In this lesson, students reflect on the social relevance of right-brain and left-brain thinking. Then, they practice the science skills of observation and drawing using a right-brain dominant approach and reflect on whether and how the different p...Sam Zell: A Tough Guy in a Mean Business : Sam Zell, the owner of the Tribune Company, faces difficult choices ahead, as his company struggles under $12.8 billion in debt and looks at a very real risk of credit default."
20,2008-05-01,"IPod Quandary: Fix or Replace? : Is it possible to get a cracked iPod screen repaired for significantly less than what it would cost to just buy a new iPod?Studios Selling Movie Downloads and DVDs at the Same Time : The studios will now let Apple and other online stores sell movies as downloads on the same day as they are released as DVDs. Many studios had required a delay of as much as 30 days.IPod Quandary: Fix or Replace? : IPod Quandary:      Fix or Replace?  On the Web : THE FOOD AND DRUG Administration has ordered Merck & Company to correct numerous manufacturing deficiencies at its main vaccine plant, the agency said Wednesday. (AP).Politics and the Economy Occupy Ad Agencies : A look back at some of the highlights, lowlights and sidelights of the 2008 Four A’s leadership conference.Podcast: A 100-Year Hit (With Peanuts and Cracker Jack) : In his weekly podcast, Sam Roberts reminisces about the centennial of ""Take Me Out to the Ballgame."" Legend has it that the song originated on a New York City subway.My Best Friend’s Big Fat (Shouldn’t Happen) Scottish Wedding : The romantic comedy “Made of Honor” adds tart satirical flavors to a cotton-candy formula without sabotaging the sugar rush.Lessons From Big Leagues Guide a Bassmaster Rookie : For tournament fisherman Billy Brewer, an unforgiving situation on the lake can be matched with some of his experiences as a major league baseball player.New York City : Home and garden tours in the city, around the region and across the country.Polish Bedknobs, Stash Broomsticks : THE season of house tours, garden tours and show houses is here, with oak doors and picket-fence gates swinging open for visitors.       This year's tours include apartments crammed with antique English furniture and African art, and modern houses..."
21,2008-06-02,"Will Steve Jobs Set Me Free? : Apple might be preparing to introduce an expanded version of its .Mac Internet service under the name Me.com, according to several rumor sites. The question is whether Steve Jobs will continue to charge $100 a year for the service or take on Googl...Disney and Pixar: The Power of the Prenup : When the Walt Disney Company bought its rival, Pixar, in 2006 for $7.4 billion, many people assumed the deal would play out like most big media takeovers: abysmally. The worries were twofold: that either Disney would trample Pixar's esprit de corp...Clothing Designers Honor ... Bloomberg? : It is safe to say that when the Council of Fashion Designers of America gives Mayor Michael R. Bloomberg its annual award, it will not be for his groundbreaking clothing selections.People and Accounts of Note : "
22,2008-09-03,"Apple Hints at iPod News : Apple is expected to show off its new iPod music players -- and possibly announce price cuts -- on Tuesday but may not release a long-awaited update to its MacBook laptop computers until a later date.Paid Notice: Deaths   APPLING, WILLIAM T. : APPLING--William T. , died August 29, 2008. Legendary choral conductor, pianist, teacher, and mentor to many. Friend for over fifty years. Richard WilsonForget Apple - Let's Speculate About the Microsoft Zune : With Apple expected to unveil new versions of its iPod music player next week, what's new with Microsoft's Zune player? And do customers really care?Laptop Batteries That Give Out : My laptop battery does not hold a charge as it used to. Is there any way to improve its performance? If I do get a new battery, are those cheaper replacements made by other companies O.K.?The Addictive iPhone : To the Editor:.Walkman Plays Music, Video and FM but Little Noise : Sony may have ceded much of the personal music player market to Apple and its iPod, but the company’s nearly 30-year-old product line continues with new models.Q&A : Streaming Video With Silverlight     Q.I was trying to watch a video on the Web, and was prompted to download and install something called Silverlight. What is this, and will it mess up my system?  A Bright and Shiny Browser : Anything that is good for the speed, dependability and stability of browsers has to be good for Google (and incidentally for ordinary users).Coke Bids for Chinese Juice Giant : The Coca-Cola Company said Wednesday that it had made a bid to acquire one of China's largest juice makers for about $2.5 billion. The deal for the China Huiyuan Juice Group, which is based in Beijing, would be one of the biggest foreign acquisiti...OPENING LATER : OPENING LATER     ALDEA George Mendes, whose résumé includes Bouley and Wallsé, will have a menu with a Portuguese accent, with dishes like sardines and Madeira raisins, and pork chop with clams and kale. He has enlisted Stephanie Goto, who worked..."
23,2008-12-17,"Apple’s Chief to Skip Macworld, Fueling Speculation : Apple said Steven P. Jobs would not appear at Macworld in January and that it would pull out of the conference after January’s event.Answers About the Big Apple Circus : Taking Questions: This week, Guillaume Dufresnoy, the incoming artistic director of the Big Apple Circus, will answer selected readers' questions about the show.Babette Friedman’s Apple Cake : A recipe for Babette Friedman’s Apple Cake.How Apple and Facebook Influence Salesforce.com : Like Facebook, Salesforce is turning into a platform for many applications, instead of just a fancy Rolodex. Like Apple it now offers a store where customers can buy the apps themselves.In Successful Paris Restaurant, Jewish Roots : This simple, rustic cake is perfect for a holiday celebration or any other occasion.‘Jobs Premium’ Is Worth Billions : Steven P. Jobs has turned Apple into a technology powerhouse — twice. But how much is he worth to the company?Macworld Loses Its Marquee Player : The Apple-centric trade show isn't the same without its famed keynote speaker.Tossing a Better Holiday Salad : If you've ever overdressed a salad, then you will appreciate this tip from the Tiny Kitchen video blog.F.D.A. Approves 2 New Sweeteners : Regulators have approved two versions of a new zero-calorie sweetener developed by the Coca-Cola Company and PepsiCo.Updating Automatically : Is there a better way to get the latest software updates than opening each application, one by one, and clicking “check for updates?”"
24,2008-12-18,"Answers About the Big Apple Circus, Part 2 : Taking Questions: This week, Guillaume Dufresnoy, the incoming artistic director of the Big Apple Circus, will answer selected readers' questions about the show.‘Jobs Premium’ Is Worth Billions : Steven P. Jobs has turned Apple into a technology powerhouse — twice. But how much is he worth to the company?Dell's Mystery 'Adamo' Could Be Thinner Than Air : Is Dell about to make an ultra-sleek laptop? It has picked out a name.Pothole Map Inadequate for Lawsuits, Court Finds : A famous pothole map designed by trial lawyers does not give injured people the right win civil judgments against New York City under the Pothole Law, a court ruled.From Bits: Is a Superthin Dell Laptop in the Works? : Our colleague at Bits uncovers evidence of something skinny over at Dell.The 'Amazon Tax' and the 'iTunes Tax,' Compared : Gov. David A. Paterson wants to impose a 4 percent sales tax on online downloads of music, ring tones, games, movies and other media, as well as pay-per-view movies sold by cable-television providers.Palm Reports New Loss : The smartphone maker reported a loss for its second quarter, dragged down by a one-time tax charge and plummeting sales.F.D.A. Approves 2 New Sweeteners : Regulators have approved two versions of a new zero-calorie sweetener developed by the Coca-Cola Company and PepsiCo.Updating Automatically : Is there a better way to get the latest software updates than opening each application, one by one, and clicking “check for updates?”All I Want for Tweetmas : Tweetmas lets Twitter users share their Christmas wish lists with their friends and the world."
25,2009-01-12,"Let’s Invent an iTunes for News : If print media outlets want to find a new business model, the music industry is worth studying.It May Market Organic Alternatives, but Is Your Cleaner Really Greener? : In New York and around the country, dry-cleaning stores have increasingly sprouted signs reading “organic” or “green,” but sometimes the cleaning methods are anything but.New Toys for iThings : New accessories for dressing up your iStuff.For Palm, Phone Won't Be Enough : For Palm, Phone      Won't Be Enough  Q & A with Stuart Elliott : Q & A with Stuart Elliott.Ask the 'Daily Show' Resident Expert : Taking Questions: This week, John Hodgman, the humorist and author of ""More Information Than You Require,"" will be answering readers' questions.TODAY IN BUSINESS : S.E.C. CHOICE IN LAWSUITS Mary L. Schapiro, below, Barack Obama's choice to head the Securities and Exchange Commission, has been accused in two lawsuits of making misleading statements to quickly complete a merger of two regulatory bodies, the NA...People and Accounts of Note : Webdenda."
26,2009-03-18,"The iPhone Is Gaining Some Editing Skills : Apple said its new iPhone software would be able to copy and paste text.With Help From a Software Maker, a Mac Gets a Chance to Break Into TV : The EyeTV Hybrid brings both digital and analog TV to Apple devices, and can make the Mac into a digital video recorder.The Universal Remote Dormant in Your Smartphone : As touch screens grow more prevalent, new applications are tapping their power to mimic any remote controls.Luxury Surfing at Home : How can I get normal cable TV but also wireless Internet access for Web and e-mail on large plasma screen?Luxury Surfing at Home : How can I get normal cable TV but also wireless Internet access for Web and e-mail on large plasma screen?China Blocks Coke Bid for Juice Maker : At $2.4 billion, Coca-Cola’s bid for the China Huiyuan Juice Company would been the largest takeover by a foreign company of a mainland Chinese firm.China Rejects Coke Bid for Juice Maker : China rejected Coca-Cola's $2.5 billion bid to buy a major Chinese fruit juice maker Wednesday in a closely watched case that stirred nationalist opposition to the sale of a successful homegrown brand to foreigners. The proposed purchase of the Hu...In Lean Times, New Ways to Reach Out : Yoga programs and bike nights may not be your typical museum fare, but in these rough economic times, museums are pushing for innovative ways to attract visitors and connect with audiences."
27,2009-03-19,"With Help From a Software Maker, a Mac Gets a Chance to Break Into TV : The EyeTV Hybrid brings both digital and analog TV to Apple devices, and can make the Mac into a digital video recorder.The Real Significance of iPhone 3.0 : Apple's 1000 APIs for developers promise advanced new uses for the iPhone.The Universal Remote Dormant in Your Smartphone : As touch screens grow more prevalent, new applications are tapping their power to mimic any remote controls.Palm Posts a Loss for a 7th Quarter : The net loss expanded to $95 million, or 89 cents a share, from $54.7 million, or 53 cents, a year earlier.Luxury Surfing at Home : How can I get normal cable TV but also wireless Internet access for Web and e-mail on large plasma screen?Luxury Surfing at Home : How can I get normal cable TV but also wireless Internet access for Web and e-mail on large plasma screen?China Blocks Coke Bid for Juice Maker : At $2.4 billion, Coca-Cola’s bid for the China Huiyuan Juice Company would been the largest takeover by a foreign company of a mainland Chinese firm.The Morning Skate: To Tank or Not to Tank : Should a team purposely lose games to grab a high draft choice?In Lean Times, New Ways to Reach Out : Yoga programs and bike nights may not be your typical museum fare, but in these rough economic times, museums are pushing for innovative ways to attract visitors and connect with audiences.Assimilate or Segregate? : In this lesson, students explore the debate between assimilation and segregation in ESOL education, then brainstorm possible solutions and investigate how their own area educates English-language learners. (Click here for a companion lesson for Gr..."
28,2009-04-20,"Footnotes : The Big Apple Circus has renewed its agreement with Lincoln Center for the Performing Arts and more culture news.Owner of Monitor Company Says Mac Displays Are Real : Despite a connection to a less-than-productive Internet salesman, the maker of a new Apple-compatible display insists his product is not vaporware.Are You Ready for Some Product Placement? : In its biggest sports installation to date, Sony is equipping the new Dallas Cowboys stadium with more than 3,000 LCD TVs.LOOKING AHEAD : ECONOMIC DATA Reports include leading economic indicators for March (Monday); existing-home sales for March (Thursday); and durable goods and new-home sales for March (Friday).     CORPORATE EARNINGS Reports will come from Bank of America, Boston ...He Left His Teeth Next to the Marionette : Blogtalk: A window full of curious attractions; a dome for Midtown Manhattan; custom toilet paper from Michel Gondry; revisiting a block photographed by Walker Evans; and more New York links.He Left His Teeth Next to the Marionette : Blogtalk: A window full of curious attractions; a dome for Midtown Manhattan; custom toilet paper from Michel Gondry; revisiting a block photographed by Walker Evans; and more New York links.Adobe in Push to Spread Web Video to TV Sets : Adobe expects TVs that support its Flash format to start selling later this year, offering content creators a single format for an expanding ecosystem of digital devices.Marijuana Advocates Point to Signs of Change : Advocates of legalizing marijuana are sensing increasing acceptance of the drug, as medicine or entertainment.Google News, and More, on a Timeline : Google News Timeline, a new experimental product, gives users powerful new ways to scan stories and more over time.Aerodynamics on Land: Aiming for 800 M.P.H. : A group of volunteers intends to take a modified fighter jet to the hardpan desert at Black Rock, Nev., to set a land speed record."
29,2009-10-12,"Google and Apple Eliminate Another Link Tie : The Federal Trade Commission is no longer pursuing its inquiry into the two companies’ connections.Apple's App Refund Policy: No : Apple does allow refunds for apps, which may hamper the sale of expensive apps.Disney’s Retail Plan Is a Theme Park in Its Stores : The Walt Disney Company, with the help of Steve Jobs, intends to alter its approach to the shopping mall.Ben Williams, Circus Performer Whose Co-Star Was an Elephant, Dies at 56 : Mr. Williams seized the attention of Big Top crowds by fearlessly and flamboyantly cavorting under, above and around elephants.Levinson Leaves Google Board Amid F.T.C. Inquiry : Arthur D. Levinson has left Google's board amid an investigation by federal regulators into the ties between the boards of Google and Apple.The Collider, the Particle And a Theory About Fate : One of the most bizarre theories in all of science suggests a negative outcome for the superconducting supercollider in Switzerland.The Collider, the Particle and a Theory About Fate : One of the most bizarre theories in all of science suggests a negative outcome for the superconducting supercollider in Switzerland.The Potential Perils of M.&A., Phone Edition : One of the longstanding criticisms of mergers and acquisitions is that it destroys shareholder value. To some, Microsoft's purchase of Danger, the maker of the popular Sidekick phone for T-Mobile, did even more damage.Two Daily Newspapers Fighting Over Top Spot : Will circulation declines at USA Today mean The Wall Street Journal is bigger? Depends on who is doing the counting.The Beauty in Redundancy : The T-Mobile Sidekick data-loss problem gives a lesson in the importance of multiple back-ups."
30,2009-10-13,"Google and Apple Eliminate Another Link Tie : The Federal Trade Commission is no longer pursuing its inquiry into the two companies’ connections.Disney’s Retail Plan Is a Theme Park in Its Stores : The Walt Disney Company, with the help of Steve Jobs, intends to alter its approach to the shopping mall.Dining Calendar : Prix Fixe Dinners.Levinson Leaves Google Board Amid F.T.C. Inquiry : Google said Monday that Arthur D. Levinson, the former chief executive of Genentech, is leaving its board of directors.Playfully Flavored Cannoli : The restaurant owner Anthony Fontana is selling flavored variations of cannoli at a new store.The Collider, the Particle And a Theory About Fate : One of the most bizarre theories in all of science suggests a negative outcome for the superconducting supercollider in Switzerland.Ben Williams, Half of an Elephant Act, Dies at 56 : Ben Williams, who, clad only in his trademark tiger-skin loincloth, seized the attention of Big Top crowds by fearlessly and flamboyantly cavorting under, above and around elephants to become one of the top circus attractions of recent decades, di...Nokia's Netbook Comes With Marathon Battery Life : Nokia enters the netbook PC market with the Booklet 3G. In addition to 3G data connectivity, the machine boasts a 12-hour battery life -- much longer than the competition.BlackBerry, Upgraded, Aims to Suit Every User : The Storm was supposed to be the smartphone that would keep Verizon Wireless customers from deserting to Apple’s iPhone, which runs on AT&T’s network.New Knits Are Flexible Friends : Woolly, hairy or feather light, autumn knits have one thing in common: They cover the body like falling leaves."
