date,company_focused_summary
2016-01-30,No Information
2016-01-31,No Information
2016-02-01,No Information
2016-02-02,"IHS Says iPhone 6S, Other Apple Products Driving Growth for MEMS Microphones"
2016-02-03,"General Growth CEO Warns Apple Stores May Be Bogging Down Growth. $AAPL $334,980,374 plus additional damages in the amount of: $209,725,673. In total, the Jury awarded $544,706,047.. Report Virnetx Awarded $543M in Patent Infringement Case vs Apple"
2016-02-04,Marathon Patent  Shares Moving Higher in Sympathy With Virnetx Ahead of Marathon May 2 Trial Date vs Apple. VirnetX's Apple Victory Might Be Just The Beginning. VirnetX Stock Up 50% Following Patent Win Against Apple. Marathon Patent  Shares Moving Higher in Sympathy With Virnetx Ahead of Marathon May 2 Trial Date vs Apple. VirnetX Confirms Win of $625.6M Verdict Against Apple
2016-02-05,No Information
2016-02-06,No Information
2016-02-07,No Information
2016-02-08,"Apple Earbuds A Giant Opportunity For This Stock. New Report Reaffirms What Apple's Next Growth Engine Could Be. Cramer: As Tech Gets 'Pulverized,' Stick With Apple And Disney. Cramer: As Tech Gets 'Pulverized,' Stick With Apple And Disney"
2016-02-09,Is The Taiwan Earthquake Bad For Apple Inc. Is The Taiwan Earthquake Bad For Apple Inc. Is The Taiwan Earthquake Bad For Apple Inc. Russian Official Says Google And Apple Have Hit 'Point Of No Return'
2016-02-10,No Information
2016-02-11,nano Application Processors for Apple's iPhone 7
2016-02-12,Supplier Fallout From Apple's A10 Switch. Supplier Fallout From Apple's A10 Switch
2016-02-13,No Information
2016-02-14,No Information
2016-02-15,No Information
2016-02-16,Apple Weakness Is Good For. Carl Icahn Cuts Stake In Apple By 13%. Carl Icahn Cuts Stake In Apple By 13%. Carl Icahn Cuts Stake In Apple By 13%. Carl Icahn Cuts Stake In Apple By 13%
2016-02-17,"Cybersecurity Stocks To Watch In The Wake Of Tim Cook's Letter. Cybersecurity Stocks To Watch In The Wake Of Tim Cook's Letter. Cybersecurity Stocks To Watch In The Wake Of Tim Cook's Letter. Cybersecurity Stocks To Watch In The Wake Of Tim Cook's Letter. Cybersecurity Stocks To Watch In The Wake Of Tim Cook's Letter. An iPhone Game. An iPhone Game. Energeous Shares Spiking, Chatter Involving Phones With Apple. BRG Speculating Apple has Exclusive Deal with Energous to bring WattUp to Future iPhones"
2016-02-18,"Fossil In For Fight With Apple After Big Quarterly Win, Analyst Says"
2016-02-19,"Apple's Component Makers Given Green Light To Book Production Capacity, Report Says. Cirrus Logic, Analog Devices Begin Booking Production Capacity for Apple's iPhone 7. AVGO Shares Under Pressure, Traders Attribute Move To Comments Apple May Bring Wifi Companent Mfg. Apple's Component Makers Given Green Light To Book Production Capacity, Report Says. Cirrus Logic, Analog Devices Begin Booking Production Capacity for Apple's iPhone 7. Apple's Component Makers Given Green Light To Book Production Capacity, Report Says. Apple's Pushback Against US Court Order Raises Privacy Questions For Tech Firms"
2016-02-20,No Information
2016-02-21,No Information
2016-02-22,No Information
2016-02-23,"Despite Apple Weakness, Cirrus Logic Is Still A Buy. Despite Apple Weakness, Cirrus Logic Is Still A Buy"
2016-02-24,"SunTrust Analyst Loves Apple Supplier Analog Devices. China's Latest Smartphone Numbers Are Good For Apple. A Different Way To Analyze Tesla, Apple And Other Hot Stocks In 5 Charts. GoPro Shares Spiking, Bullish Article Making Rounds, Comments Of Apple Being Undervalued. Apple Has Almost 15% Of The Wearables Market, Behind Fitbit. A Different Way To Analyze Tesla, Apple And Other Hot Stocks In 5 Charts"
2016-02-25,"Orders from Apple, China, Taiwan Firms to Fill Taiwan Semiconductor's 16nm Process Capacity for 2016"
2016-02-26,No Information
2016-02-27,No Information
2016-02-28,No Information
2016-02-29,Look How Much Apple And Google Have Destroyed Smartphone Competition. we believe the company is using its fresh Apple win as an additional selling point for the business. FBR's Christopher Rolland on Lattice Semi: 'Sell While the Shine Is on the Apple. Look How Much Apple And Google Have Destroyed Smartphone Competition
2016-03-01,No Information
2016-03-02,No Information
2016-03-03,Would Fiat Build An Apple Car?
2016-03-04,May be Attributed to Unconfirmed Market Chatter of Deal With Apple for iPhone 7
2016-03-05,No Information
2016-03-06,No Information
2016-03-07,Palo Alto Networks Says Apple Mac Users Were Targeted by Hackers Using Ransomware. Apple No Longer Bidding For NFL Games. Apple No Longer Bidding For NFL Games
2016-03-08,Apple Macs Face First
2016-03-09,No Information
2016-03-10,Farmer Mac Raises Qtr. Farmer Mac Reports Q4 EPS $1.35 vs
2016-03-11,No Information
2016-03-12,No Information
2016-03-13,No Information
2016-03-14,No Information
2016-03-15,No Information
2016-03-16,No Information
2016-03-17,Jabil's Guidance Is Bad Sign For Apple's iPhone
2016-03-18,A German Court Ruling May Threaten Apple Video Services. Argus Downgrades Jabil Circuit On Reduced Growth Prospects From Apple. A German Court Ruling May Threaten Apple Video Services
2016-03-19,No Information
2016-03-20,No Information
2016-03-21,"The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind. The Market In 5 Minutes: Apple, Valeant And Cuba On Everybody's Mind"
2016-03-22,"AAPL Spikes To High, Northland Positive On CRUS Amid Chatter Of Possible AAPL Interest In Imagination Tech, Says Imagination Tech & CRUS Have No Overlap. UK Guardian Says Apple May be Interested in Acquiring Imagination Technologies. BlueFin Research Sees TSM's A10 Processor Ramp Driven By AAPL iPhone 7, Says Check Indicate A10 Wafer Starts Should Bottom In April Then Increase In May As A10 Mass Production Begins"
2016-03-23,No Information
2016-03-24,No Information
2016-03-25,No Information
2016-03-26,No Information
2016-03-27,No Information
2016-03-28,"Goldman Sachs Says PAYX Outlook Unchanged In Lieu Of Reports Apple Pay May Be Offered Within Safari Browser. Until Qualcomm Can Respond To Intel And Apple, Barclays Is Moving To The Sidelines. This Apple Supplier Is Doing Better Than Some Expected"
2016-03-29,No Information
2016-03-30,No Information
2016-03-31,Experts Found Something Interesting In Apple's iPhone SE. Experts Found Something Interesting In Apple's iPhone SE. Experts Found Something Interesting In Apple's iPhone SE. Experts Found Something Interesting In Apple's iPhone SE. Experts Found Something Interesting In Apple's iPhone SE. Experts Found Something Interesting In Apple's iPhone SE
2016-04-01,No Information
2016-04-02,No Information
2016-04-03,No Information
2016-04-04,No Information
2016-04-05,"If Rovi Doesn't Buy Tivo, Apple Or Amazon Could. If Rovi Doesn't Buy Tivo, Apple Or Amazon Could. If Rovi Doesn't Buy Tivo, Apple Or Amazon Could"
2016-04-06,Analysts Have Differing Views On Apple And HP
2016-04-07,No Information
2016-04-08,"New Research Shows Apple Working Heavily On Machine Learning Before WWDC 2016. Video Posted April 7 on YouTube Shows Energous Charger Charging Apple, FitBit Devices"
2016-04-09,"Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More. Barron's Picks And Pans: Apple, Seagate Technology, Toll Brothers And More"
2016-04-10,No Information
2016-04-11,"CItigroup Sees Pandora Well Positioned Now That Apple Radio Service Is Behind Paywall, Positive On Pandora's On"
2016-04-12,No Information
2016-04-13,"Goldman Looks At This Week's Options Activity In Apple, Seagate And Visa"
2016-04-14,"UBS: Time to Buy Applied Materials, Apple Could Drive Near. Apple Demand 'Cold As Ice' In Asia, iPhone Suppliers Face Risk Of Earnings Misses. Apple Demand 'Cold As Ice' In Asia, iPhone Suppliers Face Risk Of Earnings Misses. Apple Demand 'Cold As Ice' In Asia, iPhone Suppliers Face Risk Of Earnings Misses. Apple Demand 'Cold As Ice' In Asia, iPhone Suppliers Face Risk Of Earnings Misses. Doug Kass Tweets: $TSM high end smart phone weakness could impact $AAPL today"
2016-04-15,"Nikkei: Apple Will Continue Reduced Production Of iPhones. Semi Equipment Stocks Under Pressure Over Last Few Mins Following Nikkei Report on iPhone Production. Cleveland Apple Investor Votes 435K Shares in Favor of Electing Chan W. Goldman Says Apple, Seagate And Visa Options Are Underpricing Earnings Alpha. Semi Equipment Stocks Under Pressure Over Last Few Mins Following Nikkei Report on iPhone Production. Nikkei: Apple Will Continue Reduced Production Of iPhones. If Apple Adopts OLED, It Could Kill This Stock. Nikkei: Apple Will Continue Reduced Production Of iPhones. Semi Equipment Stocks Under Pressure Over Last Few Mins Following Nikkei Report on iPhone Production. Goldman Says Apple, Seagate And Visa Options Are Underpricing Earnings Alpha"
2016-04-16,No Information
2016-04-17,No Information
2016-04-18,"Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline. Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline. Pacific Crest On Wearables: Apple Watch's Next Wave Likely 'Lower. Pacific Crest On Wearables: Apple Watch's Next Wave Likely 'Lower. Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline. Pacific Crest On Wearables: Apple Watch's Next Wave Likely 'Lower. Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline. Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline. Hours Recap: IBM & Netflix's Earnings, Index Movers And Apple's Decline"
2016-04-19,Co Announced $24.9M Settlement With Apple. Apple to Pay $24.9M Under Settlement Agreement With Marathon Patent Group Subsidiary
2016-04-20,No Information
2016-04-21,Analysts Weigh In on Two Tech Giants: Apple And Nokia
2016-04-22,No Information
2016-04-23,No Information
2016-04-24,No Information
2016-04-25,"Earnings: AAPL, FB, TWTR, LNKD and LLY"
2016-04-26,"Apple, Altria, Barrick Gold, Goldman Sachs: Fast Money Picks For April 26. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. iPhone Suppliers Are Getting Destroyed After Apple Earnings. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. iPhone Suppliers Are Getting Destroyed After Apple Earnings. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. Apple, Altria, Barrick Gold, Goldman Sachs: Fast Money Picks For April 26. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. Why Apple Could Layoff Between 25,000 And 30,000 Of 115,000 Employees By End Of Year. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. Traders Attributing to Rumor of ~$500M Settlement With AAPL. The Market In 5 Minutes: Are You Tempted To Bite The Apple?. Why Apple Could Layoff Between 25,000 And 30,000 Of 115,000 Employees By End Of Year. The Market In 5 Minutes: Are You Tempted To Bite The Apple?"
2016-04-27,"Earnings Dip In Apple Suppliers. Day Market Update: Apple Drops Following Weak Results. Day Market Update: Apple Drops Following Weak Results. Day Market Update: Apple Drops Following Weak Results. What's Weighing on Markets? AAPL, Tech Stocks. What's Weighing on Markets? AAPL, Tech Stocks. Earnings Dip In Apple Suppliers. Day Market Update: Apple Drops Following Weak Results. What's Weighing on Markets? AAPL, Tech Stocks. Citi On Apple: Despite Near. Term Pressure, iPhone 7 Should Be The Focus. What's Weighing on Markets? AAPL, Tech Stocks. Day Market Update: Apple Drops Following Weak Results. Day Market Update: Apple Drops Following Weak Results. Day Market Update: Apple Drops Following Weak Results. ETF Investors Didn't See This Coming With Apple. ETF Investors Didn't See This Coming With Apple. ETF Investors Didn't See This Coming With Apple. Day Market Update: Apple Drops Following Weak Results"
2016-04-28,No Information
2016-04-29,Bloomberg Breaks Down Apple's Stock Performance And How It Affects ETFs
2016-04-30,No Information
2016-05-01,No Information
2016-05-02,No Information
2016-05-03,Doubling Up On Apple: Fast Money Final Trades. Doubling Up On Apple: Fast Money Final Trades. These 3 Stocks Are Tied To Apple's Performance. These 3 Stocks Are Tied To Apple's Performance. When Will Apple Buy A Big Company?
2016-05-04,"Apple, Target, Live Nation: Fast Money Picks For May 4. Zynga Announces Apple is Now Our Largest Platform Partner"
2016-05-05,No Information
2016-05-06,DigiTimes: Taiwan Semiconductor Begins 'Tape Out' Of 10nm A11 Chips For Apple. Taiwan Semiconductor Begins Tape Out of Apple A11 10nm Chips
2016-05-07,No Information
2016-05-08,No Information
2016-05-09,No Information
2016-05-10,Farmer Mac Reports Q1 EPS $1.12 vs. Don't Fret About Apple With This NASDAQ ETF
2016-05-11,Canaccord Downgrades InvenSense To Hold Noting Slower iPhone Growth
2016-05-12,No Information
2016-05-13,"Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. Amid Weak iPhone Sales, Sterne Agee CRT Cuts Avago's Estimates. Apple Just Invested $1 Billion In Uber's Biggest Rival. David Tepper's Q1 Moves: Apple, Valeant And Much More. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. David Tepper's Q1 Moves: Apple, Valeant And Much More. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. David Tepper's Q1 Moves: Apple, Valeant And Much More. David Tepper's Q1 Moves: Apple, Valeant And Much More. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. Concerns About iPhone Production Cuts Likely Already Priced Into Suppliers. How Much Trouble Is Apple In?"
2016-05-14,No Information
2016-05-15,No Information
2016-05-16,"Uber's Rival And Apple's Latest Investment May File For A 2018 IPO. Berkshire Hathaway Reports 9.8M Share Stake In Apple. Berkshire Hathaway Reports 9.8M Share Stake In Apple. Leon Cooperman Buys 227,000 Apple Shares, Adds More Microsoft. Leon Cooperman Buys 227,000 Apple Shares, Adds More Microsoft. Leon Cooperman Buys 227,000 Apple Shares, Adds More Microsoft"
2016-05-17,"iPhone Mix Should Drive Analog Devices' Q3 Guidance Higher. How Apple Can Disrupt The TV Market, Trouble Netflix. How Apple Can Disrupt The TV Market, Trouble Netflix. Axiom's Anthony Says Although Corvex Comments Are Positive Today, Pandora Would Likely Have Difficulty Exploring Sale Given Likely Acquirers Like Apple, Alphabet, And Amazon, Have Their Own Services. May be Attributed to Verge Article 'Apple staffing up on wireless charging experts, including former uBeam engineers'"
2016-05-18,Is Apple Headed To Your Value ETF?. Is Apple Headed To Your Value ETF?. Is Apple Headed To Your Value ETF?. Is Apple Headed To Your Value ETF?. Is Apple Headed To Your Value ETF?
2016-05-19,No Information
2016-05-20,No Information
2016-05-21,No Information
2016-05-22,No Information
2016-05-23,"If Hedge Funds Hate Apple, Who Do They Love?. 5 Reasons Apple Revenue Could Grow. 5 Reasons Apple Revenue Could Grow. Traders Attributing to Report from InvestingDaily Indicating Apple Willing to Pay $5.00/Share. Goldman Sachs Says Expects Universal Display to be Key Beneficiary of Apple's First. Time Adoption of Oled Displays for Iphone Beginning In 2017. 5 Reasons Apple Revenue Could Grow. 5 Reasons Apple Revenue Could Grow. Taiwan's Stock Market Surges Following Reports Apple Supply. Chain Manufacturers Told To Expect Massive iPhone 7 Output. Apple Shares Higher Premarket Following Taiwan Media Reports Apple has Asked Suppliers to Majufacture 72M"
2016-05-24,Chip Suppliers Cautious Regarding Unit Production for iPhone 7. Chip Suppliers Cautious Regarding Unit Production for iPhone 7. Chip Suppliers Cautious Regarding Unit Production for iPhone 7
2016-05-25,Global Payments Extends Support To Apple Pay In Singapore. Global Payments Reports Support for Apple Pay in Singapore
2016-05-26,"Albert Fried On Apple And Time Warner Talks: Not Probable, But Beneficial. Netflix Shares Are Hot Despite Not Actually Being Mentioned As An Apple Target. UPDATE: Albert Fried's Tullo on Time Warner: 'Ultimately we do not see Apple merging with TWX however the talks do support our view that TWX is a strategic value'. UPDATE: Albert Fried's Tullo Sees Four Reasons Apple's Eddy Cue Would Have Talked with Less. Report: Apple's Eddy Cue Pushed For An Acquisition Of Time Warner Last Year. Time Warner Shares Up ~1.8% Premarket Amid FT Report Apple's Eddy Cue Last Year Raised Prospect for Interest in Acquisition of Owner of HBO, CNN, Warner Bros. Apple Executive Proposed Bid For Time Warner At Meeting With Owner Of HBO"
2016-05-27,No Information
2016-05-28,This Is How Apple Could Enter The Content Game
2016-05-29,No Information
2016-05-30,"Apple, Broadcom Named as Defendants in Legal Complaint Filed by Caltech over Alleged Wi"
2016-05-31,Here's Why Apple Is Focused On Low. Cost Phones And Why iPhone 7 Could Be Weak
2016-06-01,Why Is Apple Raising $1 Billion Through A Bond Raise In Taiwan?
2016-06-02,"Apple's New iPhone to Play Key Role. This Firm Is Still Selling Texas Instruments On Lofty Valuation, Apple Exposure"
2016-06-03,Broadcom Strong Despite A Weak Apple. Apple May Push Play On Bigger Online Video Ambitions
2016-06-04,No Information
2016-06-05,No Information
2016-06-06,"Buy Broadcom, Cirrus Logic, Skyworks Amid Meaningful Improvement In iPhone Inventories. Imitation The Sincerest Form Of Flattery? Gadfly Says Chinese CFOs Are Copying Apple's Balance Sheet Strategy. Buy Broadcom, Cirrus Logic, Skyworks Amid Meaningful Improvement In iPhone Inventories"
2016-06-07,How Apple Shares Could See $60 In Upside
2016-06-08,No Information
2016-06-09,"Google, Apple Are Doing Something New That Could Be A Positive For Pandora"
2016-06-10,Apple Chooses Intel Over Qualcomm As Main Component Supplier
2016-06-11,No Information
2016-06-12,No Information
2016-06-13,"LinkedIn, And Some Major iPhone News. Highlights Battle For All Things Internet & Cloud Between Alphabet, Amazon, Apple, Facebook, Microsoft and Alibaba. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. Highlights Battle For All Things Internet & Cloud Between Alphabet, Amazon, Apple, Facebook, Microsoft and Alibaba. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News. LinkedIn, And Some Major iPhone News"
2016-06-14,"Apple's 3 Most Important WWDC Announcements. LinkedIn Canceled Apple Watch Party Event. What Apple Pay's Journey To Safari Means For PayPal, Visa And Mastercard"
2016-06-15,Alibaba Wants To Be Bigger Than Apple And Google. Trip Chowdhry Shares Insights Into Apple's Machine Learning & Deep Learning Initiatives
2016-06-16,Reaction to Jabil Circuit's Earnings: Exposure To Apple Is A Risk
2016-06-17,No Information
2016-06-18,No Information
2016-06-19,No Information
2016-06-20,No Information
2016-06-21,No Information
2016-06-22,No Information
2016-06-23,Mac 'n' Cheese + Cheetos = Burger King's Latest Feast. Mac 'n' Cheese + Cheetos = Burger King's Latest Feast. Mac 'n' Cheese + Cheetos = Burger King's Latest Feast
2016-06-24,"4 Stocks Least Affected By The Brexit Vote: Apple, Amazon And More. Global Equities Trip Chowdhry Says Stocks Least Effected By Brexit are RedHat, Salesforce, Apple, Amazon,. Fitbit Ripe For Takeover With Samsung And Apple's Commitment To Wearables. Business Insider Calls Burger King's Mac 'n' Cheetos An 'Affront To Nature'. 4 Stocks Least Affected By The Brexit Vote: Apple, Amazon And More. Global Equities Trip Chowdhry Says Stocks Least Effected By Brexit are RedHat, Salesforce, Apple, Amazon,"
2016-06-25,No Information
2016-06-26,No Information
2016-06-27,No Information
2016-06-28,No Information
2016-06-29,No Information
2016-06-30,"Goldman Sachs Drops Knowledge About Apple's Ecosystem, Lays Out Key Areas Suppliers Should Focus On"
2016-07-01,No Information
2016-07-04,No Information
2016-07-05,iPhone 7 Risks Lead PacCrest To Downgrade Cirrus Logic And Skyworks Solutions
2016-07-06,No Information
2016-07-07,Apple's Interest In Tidal Could Spark Added M&A Interest For Pandora. Macquarie Note Says Apple
2016-07-08,No Information
2016-07-09,No Information
